Colocasia Leaves Dried,LEAFY VEGETABLES,9.3,13.7,5.9,12.8,16,42.3,277,1546,308,0,0,0,0,0,0 ,0,0,0
Corriander Leaves,LEAFY VEGETABLES,86.3,3.3,0.6,2.3,1.2,6.3,44,184,71,1.42,6918,0.05,0.06,0.8,0 ,0,0,135
Cow Pea Leaves,LEAFY VEGETABLES,89,3.4,0.7,1.6,1.2,4.1,38,290,58,20.1,6702,0.05,0.18,0.6,0 ,0,0,4
Curry Leaves,LEAFY VEGETABLES,63.8,6.1,1,4,6.4,18.7,108,830,57,0.93,7560,0.08,0.21,2.3,0 ,23.5,93.9,4
Drumstic Leaves,LEAFY VEGETABLES,75.9,6.7,1.7,2.3,0.9,12.5,92,440,70,0.85,6780,0.06,0.05,0.8,0 ,0,0,220
Fenugreeek Leaves,LEAFY VEGETABLES,86.1,4.4,0.9,1.5,1.1,6,49,395,51,1.93,2340,0.04,0.31,0.8,0 ,0,0,52
Fetid Cassia Fresh,LEAFY VEGETABLES,84.9,5,0.8,1.7,2.1,5.5,49,520,39,12.4,10152,0.08,0.19,0.8,0 ,0,0,82
Fetied Cassia Dried,LEAFY VEGETABLES,9.7,20.7,3.9,11.8,10.4,43.5,292,3200,292,0,0,0,0,0,0 ,0,0,0
Garden Cress,LEAFY VEGETABLES,82.3,5.8,1,2.2,0,8.7,67,360,110,28.6,0,0.15,0,0,0 ,0,0,0
Garden Sorrel Sepals,LEAFY VEGETABLES,91.9,0.6,0.2,0.9,1.3,5.1,25,130,20,1.7,0,0,0,0,0 ,0,0,0
Gogu,LEAFY VEGETABLES,86.4,1.7,1.1,0.9,0,9.9,56,172,40,2.28,2898,0.07,0.39,1.1,0 ,0,0,20
Ipomoea Stems,LEAFY VEGETABLES,93.7,0.9,0.2,1.8,0,3.4,19,80,30,0.8,0,0,0,0,0 ,0,0,0
Ipomoea Leaves,LEAFY VEGETABLES,90.3,2.9,0.4,2.1,1.2,3.1,28,110,46,3.9,1980,0.05,0.13,0.6,0 ,0,0,37
Knol0khol Greens,LEAFY VEGETABLES,86.7,3.5,0.4,1.2,1.8,6.4,43,740,50,13.3,4146,0.25,0,3,0 ,0,0,157
Kuppameni,LEAFY VEGETABLES,80.5,6.7,1.4,3.1,2.3,6,64,667,99,17.3,0,0,0,0,0 ,0,0,147
Lettuce,LEAFY VEGETABLES,93.4,2.1,0.3,1.2,0.5,2.5,21,50,28,2.4,990,0.09,0.13,0.5,0 ,0,0,10
Lettuce Tree Leaves Mature,LEAFY VEGETABLES,81.7,5.1,0.4,2.6,0,10.2,65,320,80,2.6,0,0,0,0,0 ,0,0,0
Lettuce Tree Leaves Tender,LEAFY VEGETABLES,90.2,3.6,0.2,2.2,0.6,3.2,29,170,60,3.6,0,0,0,0,0 ,0,0,0
Manathakkali Leaves,LEAFY VEGETABLES,82.1,5.9,1,2.1,0,8.9,68,410,70,20.5,0,0,0.59,0.9,0 ,0,0,11
Mayalu,LEAFY VEGETABLES,90.8,2.8,0.4,1.8,0,4.2,32,200,35,10,7440,0.03,0.16,0.5,0 ,0,0,87
Mint,LEAFY VEGETABLES,84.9,4.8,0.6,1.9,2,5.8,48,200,62,15.6,1620,0.05,0.26,1,0 ,9.7,114,27
Modakanthan Keerai,LEAFY VEGETABLES,83.3,4.7,0.6,2.3,0,9.1,61,0,0,0,0,0,0,0,0,0,0,0
Mukarrate Keerai,LEAFY VEGETABLES,84.5,6.1,0.9,1.3,0,7.2,61,667,99,18.4,0,0,0,0,0 ,0,0,27
Mustard Leaves,LEAFY VEGETABLES,89.8,4,0.6,1.6,0.8,3.2,34,155,26,16.3,2622,0.03,0,0,0 ,0,0,33
Nerringi,LEAFY VEGETABLES,79.1,7.2,0.5,4.6,0,8.6,68,1550,82,9.2,0,0,0,0,0 ,0,0,41
Parsley,LEAFY VEGETABLES,74.6,5.9,1,3.2,1.8,13.5,87,390,175,17.9,1920,0.04,0.18,0.5,0 ,0,0,281
Paruppu Keerai,LEAFY VEGETABLES,90.5,2.4,0.6,2.3,1.3,2.9,27,111,45,14.8,2292,0.1,0.22,0.7,0 ,0,0,29
Ponnanganni,LEAFY VEGETABLES,77.4,5,0.7,2.5,2.8,11.6,73,510,60,1.63,1926,0,0.14,1.2,0 ,0,0,17
Pumpkin Leaves,LEAFY VEGETABLES,81.9,4.6,0.8,2.7,2.1,7.9,57,392,112,0,0,0,0,0,0 ,0,0,0
Radish Leaves,LEAFY VEGETABLES,90.8,3.8,0.4,1.6,1,2.4,28,265,59,0.09,5295,0.18,0.47,0.8,0 ,0,0,81
Raadish Leaves Table,LEAFY VEGETABLES,89.1,3.9,0.6,1.6,0.6,4.2,38,310,60,18,5742,0.18,0.35,5.5,0 ,0,0,106
Rape Plant Stem,LEAFY VEGETABLES,91.4,3.1,0.1,1.4,0,4,29,100,100,1.2,0,0,0,0,0 ,0,0,0
Rape Plant Leaves,LEAFY VEGETABLES,84.9,5.1,0.4,2.5,1.2,5.9,48,370,110,12.5,1380,0.01,0.03,0.9,0 ,0,0,65
Safflower Leaves,LEAFY VEGETABLES,91.1,2.5,0.6,1.3,0,4.5,33,185,35,5.7,3540,0.04,0.1,0,0 ,0,0,15
Shepu,LEAFY VEGETABLES,88,3,0.5,2.2,1.1,5.2,37,190,42,17.4,7182,0.03,0.13,0.2,0 ,0,0,0
Spinach,LEAFY VEGETABLES,92.1,2,0.7,1.7,0.6,2.9,26,73,21,1.14,5580,0.03,0.26,0.5,0 ,51,123,28
Spinach Stalks,LEAFY VEGETABLES,93.4,0.9,0.1,1.8,0,3.8,20,90,20,1.6,0,0,0,0,0 ,0,0,0
